price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna,price(NGN),price(millions_NGN),log_price_millions_NGN
"NGN GNGN  1,200,000,000",Luxury 5 Bedroom Semi-Detached House with Ample Parking Space,Banana Island,Sale,sale,Semi Detached,5.0,5.0,Rose,1 year ago,https://cwlagos.com/property/luxury-5-bedroom-semi-detached-house-with-ample-parking-space/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,True,,True,True,,True,,,,,,,,,,,1200000000.0,1200.0,7.090076835776092
2170155000.0,Luxury 4 Bedroom Maisonette with Swimming Pool,Banana Island,Sale,,Maisonette,4.0,4.0,Rose,1 year ago,https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-swimming-pool-2/,True,True,True,True,True,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,2170155000.0,2170.155,7.682553872555035
"NGN 100,000,000",Luxury 5 Bedroom Detached House,Banana Island,Rent,sale,Detached,5.0,5.0,Adeyemi Fowosire,8 months ago,https://cwlagos.com/property/luxury-5-bedroom-detached-house-with-en-suite-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,,,,,,,100000000.0,100.0,4.605170185988092
"NGN GNGN  1,800,000,000",Land Measuring Two Plots of 500 sqm,Banana Island,Sale,sale,,,,Rose,5 months ago,https://cwlagos.com/property/land-measuring-two-plots-of-500-sqm/,True,,,,,True,True,,,,,True,,,,,,,,,True,,,,,,2 Plots of 500 sqm,,,,,,,1800000000.0,1800.0,7.495541943884256
2170155000.0,Luxury 4 Bedroom Maisonette with Swimming Pool,Banana Island,Sale,,Maisonette,4.0,4.0,Rose,1 year ago,https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-swimming-pool-2/,True,True,True,True,True,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,2170155000.0,2170.155,7.682553872555035
"NGN GNGN  45,000,000",Furnished 2 Bedroom Waterfront Apartment,Banana Island,Rent,rent,Apartment,2.0,2.0,admin-cw,6 months ago,https://cwlagos.com/property/furnished-2-bedroom-waterfront-apartment/,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,True,,,True,True,True,,,,45000000.0,45.0,3.8066624897703196
6510465000.0,6 Bedroom Fully Detached Waterfront Duplex + BQ,Banana Island,Sale,sale,Detached,6.0,6.0,admin-cw,7 months ago,https://cwlagos.com/property/6-bedroom-fully-detached-waterfront-duplex-bq/,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,,,,,True,,True,,,,6510465000.0,6510.465,8.781166161223144
"NGN GNGN  550,000,000","Luxury, Well Maintained 2 Bedroom Upper Floor Apartment",Banana Island,Sale,sale,Apartment,2.0,2.0,Rose,6 months ago,https://cwlagos.com/property/luxury-well-maintained-2-bedroom-upper-floor-apartment/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,,True,True,,,,,,,True,,True,,,,550000000.0,550.0,6.309918278226516
"550,000,000",5-Bedroom Detached Duplex with BQ,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-detached-duplex-with-bq-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000000.0,550.0,6.309918278226516
"500,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000.0,500.0,6.214608098422191
"500,000,000",5 Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000000.0,500.0,6.214608098422191
"750,000,000",6-Bedroom Semi-Detached Duplex,Chevron,Sale,sale,Semi Detached,6.0,6.0,admin-cw,3 weeks ago,https://cwlagos.com/property/6-bedroom-semi-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000.0,750.0,6.620073206530356
"400,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000000.0,400.0,5.991464547107982
