listing_url,title,location,property_type,beds,baths,status,post-date-absolute,price(millions_NGN),log_price_millions_NGN,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
https://cwlagos.com/property/land-measuring-700m%c2%b2-in-banana-island/,Land Measuring 700m² in Banana island,Banana Island,land,0.0,0.0,Sale,2025-06-21,3.6,1.2809338454620642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/luxury-2-4-bedroom-apartments-maisonettes-with-pool/,Luxury 2- & 4-Bedroom Apartments & Maisonettes with Pool,Banana Island,Apartment,2.0,2.0,Sale,2024-12-23,918.69895,6.822958484357425,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
https://cwlagos.com/property/luxury-5-bedroom-semi-detached-house-with-ample-parking-space/,Luxury 5 Bedroom Semi-Detached House with Ample Parking Space,Banana Island,Semi Detached,5.0,5.0,Sale,2024-11-18,1200.0,7.090076835776092,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-bedroom-maisonette-2/,2 Bedroom Maisonette,Banana Island,Maisonette,2.0,2.0,Rent,2025-06-21,40.0,3.6888794541139363,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
https://cwlagos.com/property/a-luxuriously-built-fully-detached-waterfront-6-bedroom-mansion-with-waterfall/,A Luxuriously Built Fully Detached Waterfront 6 Bedroom Mansion with Waterfall,Banana Island,Detached,6.0,6.0,Sale,2024-11-18,28935.4,10.272821038000862,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
https://cwlagos.com/property/2-bedroom-terraced-house/,2 Bedroom Terraced House,Banana Island,Terraced,2.0,2.0,Rent,2025-04-22,30.0,3.4011973816621555,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
https://cwlagos.com/property/6-bedroom-fully-detached-waterfront-duplex-bq/,6 Bedroom Fully Detached Waterfront Duplex + BQ,Banana Island,Detached,6.0,6.0,Sale,2025-04-22,6510.465,8.781166161223144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
https://cwlagos.com/property/furnished-2-bedroom-waterfront-apartment/,Furnished 2 Bedroom Waterfront Apartment,Banana Island,Apartment,2.0,2.0,Rent,2025-05-22,45.0,3.8066624897703196,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
https://cwlagos.com/property/luxury-well-maintained-2-bedroom-upper-floor-apartment/,"Luxury, Well Maintained 2 Bedroom Upper Floor Apartment",Banana Island,Apartment,2.0,2.0,Sale,2025-05-22,550.0,6.309918278226516,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
https://cwlagos.com/property/luxury-4-bedroom-maisonette-with-swimming-pool-2/,Luxury 4 Bedroom Maisonette with Swimming Pool,Banana Island,Maisonette,4.0,4.0,Sale,2024-11-18,2170.155,7.682553872555035,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/luxury-5-bedroom-detached-house-with-en-suite-bq/,Luxury 5 Bedroom Detached House,Banana Island,Detached,5.0,5.0,Rent,2025-03-23,100.0,4.605170185988092,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-detached-duplex-with-bq-2/,5-Bedroom Detached Duplex with BQ,Chevron,Detached,5.0,5.0,Sale,2025-09-19,550.0,6.309918278226516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-12/,5-Bedroom Fully Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-09-19,500.0,6.214608098422191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-6/,5 Bedroom Fully Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-09-19,500.0,6.214608098422191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/6-bedroom-semi-detached-duplex/,6-Bedroom Semi-Detached Duplex,Chevron,Semi Detached,6.0,6.0,Sale,2025-10-28,750.0,6.620073206530356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-9/,5-Bedroom Fully Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-09-19,400.0,5.991464547107982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-9/,4-Bedroom Semi-Detached Duplex with BQ,Chevron,Semi Detached,4.0,4.0,Sale,2025-07-21,240.0,5.480638923341991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-with-bq-5/,5-Bedroom Fully Detached Duplex with BQ,Chevron,Detached,5.0,5.0,Sale,2025-09-19,400.0,5.991464547107982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-22/,5-Bedroom Fully Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-10-19,410.0,6.016157159698354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-fully-detached-duplex-21/,5-Bedroom Fully Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-10-19,750.0,6.620073206530356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-luxury-duplex/,5-Bedroom Luxury Duplex,Chevron,Detached,5.0,5.0,Sale,2025-10-28,380.0,5.940171252720432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-detached-duplex-12/,5-Bedroom Detached Duplex,Chevron,Detached,5.0,5.0,Sale,2025-10-28,350.0,5.857933154483459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/6-bedroom-detached-duplex/,6-Bedroom Detached Duplex,Chevron,Detached,6.0,6.0,Sale,2025-10-28,750.0,6.620073206530356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/modern-4-bedroom-detached-duplex/,Modern 4 Bedroom Detached Duplex,Chevron,Apartment,4.0,4.0,Rent,2025-02-21,10.4,2.341805806147327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-semi-detached-duplex-7/,5-Bedroom Semi-Detached Duplex,Chevron,Semi Detached,5.0,5.0,Sale,2025-10-28,600.0,6.396929655216146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-smart-home/,5-Bedroom Smart Home,Chevron,Detached,5.0,5.0,Sale,2025-08-20,460.0,6.131226489483141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-terrace-duplex-5/,4-Bedroom Terrace Duplex,Chevron,Terraced,4.0,4.0,Sale,2025-07-21,420.0,6.040254711277414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-fully-detached-duplex-with-bq/,4-Bedroom Fully Detached Duplex with BQ,Chevron,Detached,4.0,4.0,Sale,2025-08-20,240.0,5.480638923341991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-detached-duplex-3/,5-bedroom detached duplex,Chevron,Detached,5.0,5.0,Sale,2025-07-21,400.0,5.991464547107982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/3-bedroom-apartment-4/,3-Bedroom Apartment,Ikate,Apartment,3.0,3.0,Rent,2025-05-22,12.0,2.4849066497880004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-16/,4-Bedroom Semi-Detached Duplex with BQ,Ikate,Semi Detached,4.0,4.0,Sale,2025-10-19,310.0,5.736572297479192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-terrace-duplex-with-bq-5/,4-Bedroom Terrace Duplex with BQ,Ikate,Terraced,4.0,4.0,Sale,2025-10-19,325.0,5.783825182329737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-detached-duplex-2/,4-Bedroom Detached Duplex,Ikate,Detached,4.0,4.0,Sale,2025-11-04,280.0,5.634789603169249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
